,,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-02-01,2021-02-01,2021-02-01,2021-03-01,2021-03-01,2021-03-01,2021-03-01,2021-04-01,2021-04-01,2021-04-01,2021-04-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-07-01,2021-07-01,2021-07-01,2021-07-01,2021-08-01,2021-08-01,2021-08-01,2021-08-01
Cuenta,Cuenta,Mov. 02/01/2021 a 31/01/2021,Mov. 02/01/2021 a 31/01/2021,Saldos a 31/01/1,Saldos a 31/01/1,Mov. 01/02/2021 a 28/02/2021,Mov. 01/02/2021 a 28/02/2021,Saldos a 28/02/2021,Mov. 01/03/2021 a 31/03/2021,Mov. 01/03/2021 a 31/03/2021,Saldos a 31/03/2021,Saldos a 31/03/2021,Mov. 01/04/2021 a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Saldos a 30/04/2021,Saldos a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Saldos a 30/04/2021,Saldos a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Saldos a 30/04/2021,Saldos a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Saldos a 30/04/2021,Saldos a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,c vvvvvv,c vvvvvv
Cód.,Nombre,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,
5150,Adecuación e instalación,10084,0,10084,,535658,0,545742,14500,0,560242,,38000,0,598242,,189050,0,787292,,45000,0,832292,,,0,832292,,,0,832292,
515005,Instalaciones electricas ,0,0,,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
515010,Arreglos ornamentales,0,0,,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
515015,Reparaciones locativas ,10084,0,10084,,535658,0,545742,14500,0,560242,,38000,0,598242,,189050,0,787292,,45000,0,832292,,0,0,832292,,0,0,832292,
515095,Otros,0,0,,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5160,Depreciacion,2941584,,2941584,,2941584,,5883168,2941584,,8824752,,2941584,,11766336,,1780051.6333333333,,13546387.633333333,,1780051,,15326438.633333333,,1780051,,17106489.633333333,,1780051,,18886540.633333333,
516005,construcciones y edificaciones,1588943,,1588943,,1588943,,3177886,1588943,,4766829,,1588943,,6355772,,1588943,,7944715,,1588943,,9533658,,1588943,,11122601,,1588943,,12711544,
516010,maquinaria y equipo,749658,,749658,,749658,,1499316,749658,,2248974,,749658,,2998632,,749658,,3748290,,749658,,4497948,,749658,,5247606,,749658,,5997264,
516015,equipo de oficina,3733,,3733,,3733,,7466,3733,,11199,,3733,,14932,,3733,,18665,,3733,,22398,,3733,,26131,,3733,,29864,
516020,equipo de computacion,22650,,22650,,22650,,45300,22650,,67950,,22650,,90600,,22650,,113250,,22650,,135900,,22650,,158550,,22650,,181200,
516035,flota y equipo de transporte,576600,,576600,,576600,,1153200,576600,,1729800,,576600,,2306400,,576600,,2883000,,576600,,3459600,,576600,,4036200,,576600,,4612800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5195,Diversos,555953,0,555953,,218265,0,774218,623155,0,1397373,,1500410,0,2897783,,1030154,0,3927937,,291111,0,4219048,,1400254,0,5619302,,461191,0,6080493,
519505,Comisiones,0,0,,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
519520,Gastos de representación y relaciones públicas,,0,,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
519525,Elementos de aseo y cafetería,10500,0,10500,,24000,0,34500,38000,0,72500,,143029,0,215529,,48600,0,264129,,54000,0,318129,,107131,0,425260,,9000,0,434260,
519530,"Utiles, papelería y fotocopias",235000,0,235000,,4850,0,239850,41996,0,281846,,4000,0,285846,,0,0,285846,,3900,0,289746,,350000,0,639746,,22101,0,661847,
519535,Combustibles Turbo,168084,0,168084,,189415,0,357499,267907,0,625406,,147740,0,773146,,367771,0,1140917,,87297,0,1228214,,230099,0,1458313,,305350,0,1763663,
519540,Combustible Mantenimiento,100000,0,100000,,,0,100000,192000,0,292000,,62066,0,354066,,35000,0,389066,,100026,0,489092,,0,0,489092,,0,0,489092,
519545,Taxis y buses,0,0,,,,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
519555,Peajes,0,0,,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
519560,Casino y restaurante,0,0,,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
519565,Parqueaderos,,0,,,0,0,,2300,0,2300,,2300,0,4600,,2521,0,7121,,4600,0,11721,,13367,0,25088,,12100,0,37188,
519576,FUMIGACION,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,
519595,Otros,42369,0,42369,,0,0,42369,80952,0,123321,,1141275,0,1264596,,576262,0,1840858,,41288,0,1882146,,699657,0,2581803,,112640,0,2694443,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
